title,author,narration,length
Atomic Habits,James Clear,James Clear,Length: 5 hrs and 35 mins
The Missing,Kiersten Modglin,Nicol Zanzarella,Length: 8 hrs and 26 mins
Will,Will Smith Mark Manson,Will Smith,Length: 16 hrs and 16 mins
Greenlights,Matthew McConaughey,Matthew McConaughey,Length: 6 hrs and 42 mins
The Great Reset,Glenn Beck Justin Trask Haskins,Glenn Beck,Length: 9 hrs and 57 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Roger Wayne,Length: 5 hrs and 17 mins
Killing Floor,Lee Child,Dick Hill,Length: 17 hrs and 47 mins
The Maid,Nita Prose,Lauren Ambrose,Length: 9 hrs and 37 mins
Can't Hurt Me,David Goggins,David Goggins Adam Skolnick,Length: 13 hrs and 37 mins
Project Hail Mary,Andy Weir,Ray Porter,Length: 16 hrs and 10 mins
Stolen Focus,Johann Hari,Johann Hari,Length: 10 hrs and 20 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Jim Dale,Length: 8 hrs and 18 mins
12 Rules for Life,Jordan B. Peterson Norman Doidge MD - foreword,Jordan B. Peterson,Length: 15 hrs and 40 mins
Red-Handed,Peter Schweizer,Charles Constant,Length: 7 hrs and 48 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Alma Cuervo Julia Whelan Robin Miles,Length: 12 hrs and 10 mins
The Lincoln Highway,Amor Towles,Edoardo Ballerini Marin Ireland Dion Graham,Length: 16 hrs and 39 mins
Truth and Other Lies: A Loki Norse Fantasy (The Nine Worlds Rising Book 1),Lyra Wolf,Casey Eade,Length: 8 hrs and 7 mins
Apples Never Fall,Liane Moriarty,Caroline Lee,Length: 18 hrs and 3 mins
Verity,Colleen Hoover,Vanessa Johansson Amy Landon,Length: 8 hrs and 10 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Jim Dale,Length: 9 hrs and 3 mins
Atlas of the Heart,Brené Brown,Brené Brown,Length: 8 hrs and 30 mins
The Midnight Library,Matt Haig,Carey Mulligan,Length: 8 hrs and 50 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Jim Dale,Length: 11 hrs and 49 mins
How to Win Friends & Influence People,Dale Carnegie,Andrew MacMillan,Length: 7 hrs and 15 mins
Reminders of Him,Colleen Hoover,Brittany Pressley Ryan West,Length: 10 hrs and 17 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Jim Dale,Length: 20 hrs and 37 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Jim Dale,Length: 26 hrs and 29 mins
How to Be Perfect,Michael Schur,Michael Schur Kristen Bell D'Arcy Carden Ted Danson William Jackson Harper Manny Jacinto Marc Evan Jackson Jameela Jamil Todd May,Length: 9 hrs and 13 mins
It Ends with Us,Colleen Hoover,Olivia Song,Length: 11 hrs and 11 mins
The Body Keeps the Score,Bessel A. van der Kolk,Sean Pratt,Length: 16 hrs and 15 mins
The Last Thing He Told Me,Laura Dave,Rebecca Lowman,Length: 8 hrs and 49 mins
Dune,Frank Herbert,Scott Brick Orlagh Cassidy Euan Morton Simon Vance Ilyana Kadushin Byron Jennings David R. Gordon Jason Culp Kent Broadhurst Oliver Wyman Patricia Kilgarriff Scott Sowers,Length: 21 hrs and 2 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Jim Dale,Length: 21 hrs and 37 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Jim Dale,Length: 18 hrs and 32 mins
48 Laws of Power,Robert Greene,Richard Poe,Length: 23 hrs and 6 mins
The 1619 Project,Nikole Hannah-Jones The New York Times Magazine Caitlin Roper - editor Ilena Silverman - editor Jake Silverstein - editor,Nikole Hannah-Jones Full Cast,Length: 18 hrs and 57 mins
The Judge's List,John Grisham,Mary-Louise Parker John Grisham,Length: 11 hrs and 36 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Tom Parks,Length: 8 hrs and 22 mins
Abandoned in Death,J. D. Robb,Susan Ericksen,Length: 13 hrs and 16 mins
Never Split the Difference,Chris Voss,Michael Kramer,Length: 8 hrs and 7 mins
Where the Crawdads Sing,Delia Owens,Cassandra Campbell,Length: 12 hrs and 12 mins
Hedgewitch,Terry Mancour,John Lee,Length: 20 hrs and 48 mins
Extreme Ownership,Jocko Willink Leif Babin,Jocko Willink Leif Babin,Length: 9 hrs and 33 mins
Never Split the Difference,Chris Voss,Michael Kramer,Length: 8 hrs and 7 mins
A Flicker in the Dark,Stacy Willingham,Karissa Vacker,Length: 11 hrs and 1 min
The Great Hunt,Robert Jordan,Kate Reading Michael Kramer,Length: 26 hrs and 34 mins
The Dragon Reborn,Robert Jordan,Kate Reading Michael Kramer,Length: 24 hrs and 48 mins
The Storyteller,Dave Grohl,Dave Grohl,Length: 10 hrs and 35 mins
Wish You Were Here,Jodi Picoult,Marin Ireland,Length: 11 hrs and 47 mins
Quicksilver,Dean Koontz,Todd Haberkorn,Length: 10 hrs and 8 mins
The Real Anthony Fauci,Robert F. Kennedy Jr.,Bruce Wagner,Length: 27 hrs and 20 mins
Die Trying,Lee Child,Johnathan McClain,Length: 14 hrs and 48 mins
The Shadow Rising,Robert Jordan,Kate Reading Michael Kramer,Length: 41 hrs and 13 mins
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,Gary Chapman,Length: 4 hrs and 46 mins
Abandoned in Death,J. D. Robb,Susan Ericksen,Length: 13 hrs and 16 mins
What Happened to You?,Oprah Winfrey Bruce D. Perry,Bruce D. Perry Oprah Winfrey,Length: 8 hrs and 27 mins
The Untethered Soul,Michael A. Singer,Peter Berkrot,Length: 6 hrs and 11 mins
Think and Grow Rich,Napoleon Hill,Erik Synnestvedt,Length: 9 hrs and 35 mins
A Promised Land,Barack Obama,Barack Obama,Length: 29 hrs and 10 mins
Unfu*k Yourself,Gary John Bishop,Gary John Bishop,Length: 3 hrs and 24 mins
Unfu*k Yourself,Gary John Bishop,Gary John Bishop,Length: 3 hrs and 24 mins
The Power of Now,Eckhart Tolle,Eckhart Tolle,Length: 7 hrs and 37 mins
The Fires of Heaven,Robert Jordan,Kate Reading Michael Kramer,Length: 36 hrs and 27 mins
Born a Crime,Trevor Noah,Trevor Noah,Length: 8 hrs and 44 mins
The Christie Affair,Nina de Gramont,Lucy Scott,Length: 10 hrs and 23 mins
Becoming,Michelle Obama,Michelle Obama,Length: 19 hrs and 3 mins
The Alchemist,Paulo Coelho,Jeremy Irons,Length: 4 hrs
The High 5 Habit,Mel Robbins,Mel Robbins,Length: 6 hrs and 57 mins
The Eye of the World,Robert Jordan,Kate Reading Michael Kramer,Length: 29 hrs and 57 mins
The Silent Patient,Alex Michaelides,Jack Hawkins Louise Brealey,Length: 8 hrs and 51 mins
The Last Wish,Andrzej Sapkowski,Peter Kenny,Length: 10 hrs and 17 mins
The Psychology of Money,Morgan Housel,Chris Hill,Length: 5 hrs and 48 mins
A Game of Thrones,George R.R. Martin,Roy Dotrice,Length: 33 hrs and 46 mins
Go Tell the Bees That I Am Gone,Diana Gabaldon,Davina Porter,Length: 49 hrs and 27 mins
The 5AM Club,Robin Sharma,Adam Verner,Length: 11 hrs and 4 mins
Billy Summers,Stephen King,Paul Sparks,Length: 16 hrs and 57 mins
Cloud Cuckoo Land,Anthony Doerr,Marin Ireland Simon Jones,Length: 14 hrs and 52 mins
Principles for Dealing with the Changing World Order,Ray Dalio,Jeremy Bobb Ray Dalio,Length: 16 hrs and 48 mins
Dare to Lead,Brené Brown,Brené Brown,Length: 8 hrs and 10 mins
The Fellowship of the Ring,J. R. R. Tolkien,Andy Serkis,Length: 22 hrs and 38 mins
Baby Steps Millionaires,Dave Ramsey,Dave Ramsey,Length: 4 hrs and 50 mins
Untamed,Glennon Doyle,Glennon Doyle,Length: 8 hrs and 22 mins
The Four Winds,Kristin Hannah,Julia Whelan,Length: 15 hrs and 2 mins
Rich Dad Poor Dad,Robert T. Kiyosaki,Tim Wheeler,Length: 6 hrs and 9 mins
Lord of Chaos,Robert Jordan,Kate Reading Michael Kramer,Length: 41 hrs and 32 mins
Redeeming Love,Francine Rivers,Kate Forbes,Length: 17 hrs and 17 mins
The Way of Integrity,Martha Beck,Martha Beck,Length: 8 hrs and 51 mins
The Overnight Guest,Heather Gudenkauf,Brittany Pressley,Length: 9 hrs and 29 mins
Think Again,Adam Grant,Adam Grant,Length: 6 hrs and 40 mins
Dark Horse,Gregg Hurwitz,Scott Brick,Length: 14 hrs and 30 mins
A Crown of Swords,Robert Jordan,Kate Reading Michael Kramer,Length: 30 hrs and 24 mins
House of Sky and Breath,Sarah J. Maas,Elizabeth Evans,Length: Not Yet Known
Talking to Strangers,Malcolm Gladwell,Malcolm Gladwell,Length: 8 hrs and 42 mins
Dune Messiah,Frank Herbert,Scott Brick Katherine Kellgren Euan Morton Simon Vance,Length: 8 hrs and 57 mins
House of Earth and Blood,Sarah J. Maas,Elizabeth Evans,Length: 27 hrs and 50 mins
Sapiens,Yuval Noah Harari,Derek Perkins,Length: 15 hrs and 17 mins
Beyond Order,Jordan B. Peterson,Jordan B. Peterson,Length: 13 hrs and 11 mins
The Eye of the World,Robert Jordan,Rosamund Pike,Length: 32 hrs and 55 mins
The Stand,Stephen King,Grover Gardner,Length: 47 hrs and 47 mins
You Are a Badass®,Jen Sincero,Jen Sincero,Length: 6 hrs and 22 mins
